text,label
যে এই মানুষ রুপি শয়তান এই নোংরা কাজ টা করেছে তার সর্বোচ্চ শাস্তি দাবি জানায়,0
"এটা তো গুজব না,,, লাইভে ওই থানার অফিসার ইনচার্জ নিজেই ঘটনার সত্যতা পেয়েছেন এবং সাথে সাথেই কোরআন শরীফ বুকে জড়িয়ে নিয়েছেন,,, আল্লাহ একজন আছেন, তিনিই উত্তম বিচারক",0
"আ,লীগ কি সেখানে বাল পালাইতে গেছে,,, মিছিল হচ্ছে বি এন পি এর,,",1
এগুলো হলো আওয়ামী লীগের ওরা নোংরা রাজনীতি,1
দিবালোকের মত স্পষ্ট তারপরও মিডিয়া গুলো কেন গুজব বলছে কার ইশারায় গুজব বলছে জাতি জানতে চায়,0
ছাত্রলীগের সন্ত্রাসীদের আক্রমণ করা ঠিক হয়নি,1
বাংলাদেশ টুকরো টুকরো হবে,0
"এই অশিক্ষিত বিজেপি সাপোর্টার গুলো যদি আজ একটু হিজাব নিয়ে নেংটামো না মেরে পড়ে নিত , কাজে দিত",1
বাংলাদেশের সাম্প্রতিক সম্প্রীতি নিয়ে যারা প্রশ্ন তুলে তাদের দেখা উচিৎ ভারতে সংখ্যালঘু নিগ্রহের ব্যাপারে স্কুল বন্ধ পর্যন্ত হচ্ছে,0
"পাব্লিকের সাহস দেখলে, মিডিয়া ছাইড়া পালাবেন",0
নাটক বানিয়ে সরকারের লাভ কি? ইকবাল কি বিএনপি জামাতি নাকি সে কোরান নামক গ্রনেড দিয়ে বিএনপি জামাতিদের খুন করতে গেছে?,1
"আওয়ামিলীগ এবং হিন্দুরা ভাই ভাই, এদের কে পরিহার করুন যদি মুসলমান হয়ে থাকেন,",2
"আর কতদিন রে ভাই, একটু তো মরার ভয় কর আল্লাহ সবাইকে হেফাজত করুক",0
এদের সবাই কে কঠিন শিক্ষা দেওয়া হোক,2
"সব মেরে ফেলেন, শুধু আপনারা কয়েক জন মিলে দেশটাকে লুটেপুটে খাওয়ার ব্যবস্থা করুন তাতেই যথেষ্ঠ",2
এ ছাগলটারে কে উড়ায় নিয়ে এসে জুড়ে বসাইলো ঐ গাধাটাকে গণপিটুনি দেওয়া দরকার!!,2
এই সব খুনের বিচার একমাত্র ফাঁসি চাই,2
"হিন্দুরা যে মুসলিমদের কলিজায় আঘাত দিল,,এটার বিচার কি হবে না ??",0
নির্বাচন বন্ধ করা হোক যে যার মতো চলাফেরা করুক চেয়ারম্যান মেম্বার এগুলো আমাদের কাজে আসে না সব সুদু গুষের আসায় বসে থাকে সরকার পারলে দেশ চালাইবো না পারলে তালেবান এসে দেশ চালাইবো,1
আল্লাহ জালেম দের ছার দেন কিন্তু ছেরেদেব না,0
ভাই বানান গুলো ঠিক হইনি,0
খুব সুন্দর নাটক সাজাতে পারেন আমার সোনার বাংলা দেশ আমরা তা মানব না তার সাথে অনেক বড় এক জন জড়িয়ে রয়েছে,1
বিশ্বযিদ হত্যা কান্ড করেছিলো কুত্তালীগের কুত্তার বাচ্চারা ওরা কি ফাঁসীর কাঠগড়ায় দাড়াবে?না হারিস আনিস জোসেফের মতো খালাস!!!???,1
ধর্ষণের বিচার করা উচিৎ তবে এই মেয়ের শাস্তিও হওয়া জরুরী 15 বছর বয়সে বয়ফ্রেন্ড তাও আবার কুমিল্লা থেকে চট্টগ্রাম ঘুরতে যাওয়া সাহস দেখে অবাক হচ্ছি,2
অাওয়ামিলিগ এর দালাল মিডিয়া,1
এই নষ্ট মহিলার পদত্যাগ ও গ্রেপ্তারের দাবি করছি,2
ভাই ব্যাপার টা কোন গোষ্ঠীর হয়ে দেখবেন না৷ ভিডিও টা নিরপেক্ষ মন নিয়ে দেখেনযদি তা অ না পারেন তাহলে বুজবেন বিজ্ঞ লোক আর মূর্খতার পার্থক্য,0
৯৯৯ কল দেয়া ব্যক্তিও গ্রেফতার হয়েছে তিনিও সিসিটিভি ফুটেজ থেকে সনাক্ত,0
সে যে ধর্মেরই হোক কোরআন অবমাননার দায়ে তার ফাশি চাই,2
মুত আর মদ একসাথে খেয়ে এমন বক্তব্য দেওয়ায় যায়,1
ব্যবসা ভালই বেচারি মহিলা কান্না করতেছে আহ্ সোনা গো আমার এখন খুব কষ্ট হচ্ছে না,0
মানুষ কুওা পাগল হয়ে গেছে,0
হিন্দু জানে এই কাজ করলে তার এলাকা শশান হয়ে যাবে তাই এই কাজ পাগল না হলে কোন হিন্দু করবে না,0
পাগল চোদা সংবাদ,1
এই দেশের ছাত্রলীগ রইল বড় রাজাকার ছাত্রলীগে দেশটারে লুটপাট করে হতাশ,1
নিউমার্কেট বন্ধ করে দে,2
তোরা যে পুলিশ বাইনচোদ তগড়ে আল্লাহ ছারা কেউই তার বিচার করতে পারবোনা,1
বাংলাদেশের ক্রিকেটার খেলা বন্ধ করে দেওয়াই ভালো যে বালের খেলা খেলেআবার বয়কট ও করছে!!!! হা হা হা ভালো খেলে দেশের জন্য কিছু করে দেখাইয়া বেতন বাড়াইয়া চাওলজ্জা করে না প্লেয়ারদের এসব করতেআর পাপন সাহেব কেও বিসিবি থেকে বাদ দেওয়া হোকউনিও ধোয়া তুলসি পাতা না,1
এগুলো হলো আওয়ামীলীগ এর আদর্শ চরিত্ত আর মিডিয়া হলো বড় রাজাকার,1
"কোটা সংস্কার নিয়ে আন্দোলন করে সরকার পতন করেছে, কিন্তু কোটা ছাড়তে পারেনি বাঙালি",0
ভাই বিবিসি নিউজ বলে চেনেল টা সাব্চক্রাইব করেছিলাম আবার সেটা আনসাব্ছক্রাইব করলাম কারন আপনারাও সত্য নিউজটা বলেন না তাহলে হিন্দুদের বিরুদ্ধে যাবে আপনি কি করে বললেন মোন্দিরে কোরআন পাওয়া গেছে এটা কেনো বললেন সত্যটা হলো মোন্দিরে মুত্তির হাটুর উপরে কোরআন পাওয়া গেছে সেটা বলতে লজ্জা করে তাইনা,1
বেস্যা গুলো হোটেল থেকে বের হয়েছে,1
আমরা মুসলমান কোনো হারামি ধর্মকে ভয় পাইনা আমরা মুসলমান আল্লাহ কে ছাড়া কাউকে ভয় পাইনা আল্লাহ আকবার,1
মেডাম যখন বাংলাদেশে সনাতন ধর্মাবলম্বী মানুষদের সরস্বতী পূজা মূর্তি ভাঙ্গা হয় তার সাথে সনাতন ধর্মাবলম্বী মানুষদের মারা হয় তখন আপনাদের সাংবাদিকতা কোথায় থাকে? তখন কি তেল দিয়ে ঘুমিয়ে পরেন?,0
"এই সুজোকে কিছু রাজনৈতিক দল তাদের ফায়দা তোলার চেষ্টা করবে, হিন্দু ও মুসলিমদের মধ্যে বিভেদ সৃষ্টি করবে সব রাজনৈতিক খেলা যা জনগণ বুঝেনা",0
এই জন্য সারাদিন ব্রডব্যান্ড ও মোবাইল ডাটা বন্ধ ছিল সেটা বলবেন না!??!,0
"কুরআনের পাকি গুলি কে জারা গুলি করে মারছে তাদের বিচার কে করবে, আমরা আল্লাহ কাছে বিচার দিলাম",0
"ধন্যবাদ বোন তোমাকে, ধন্যবাদ বিবিসি বাংলা",0
৭১ এ আমরা মুক্তি পেয়েছি ভৌগলিক মানচিত্র থেকে ২৪ এ আমরা মুক্তি পেয়েছি ভারতের গোলামি থেকে,0
জন্গী সারজিস কে অবিলম্বে গ্রেফতার করা হোক এর কোনো আদব নেই এরা মাস্তানির ভাষায় কথা বলে নির্বাচন শিখাতে আসছে,1
"সময় বেশি নেই,এই হমলার কঠিন শাস্তি পেতে হবে",1
একটা ভাল উদ্যেগ,0
সব চাঁদাবাজ সব বাটপার,1
পেট্রোল বোমা মেরে দোকান পুড়িয়ে দেয়া হোকএরা ব্যবসায়ী না কসাই মাচু,2
আপনারা একটা ব্যাপার খেয়াল করেছেন? আওয়ামী লীগের স্থানীয় নেতাদের চেহারা আর বিএনপি স্থানীয় নেতাদের চেহারা দেখলেই মনে হয় ভেতর টা কত নোংরা!,1
গলাটা খালি থাকলেই আপনাকে সুন্দর লাগতো আরো বেশি,0
"নির্দোষ হলে কোর্টই প্রমাণ করত, সেটা আমরাও চাই তবে কাউকে হেয় করে ব্যক্তিগত সম্মানহানি করা ঠিক নয় সত্যটা আইনের মাধ্যমে বেরিয়ে আসুক, এটাই প্রত্যাশা",0
এখনো যদি বিজিপির উপরে গুলি চুপ থাকে তহলে তাদের ভাগ্য আরও খারাপ হবে এক জন বিজিপির সৈনিক কে কেনোমারাহলো এরি পতিবাদে তো যে মাদার চৌদেরা ভোটের ফলাফল বদলে দেওয়ার দাবিকরছে তাদেরকে কেনো গুলিকরা হলোনা আর এক জন বিজিপির সৈনিককে মেরে তারা চলেগেলো আর বাকি পুলিশ বিজিপি সব কি সাধারন মানুষের বালফেলাছিলো,1
এই সব পুলিশের উপর আল্লাহর গজব একদিন আসবে ইনশাআল্লাহ,2
"এখানে বেশিরভাগ কমেন্ট কারিই বলছেন, যে, তারা ব্যাবসায়ীদের খারাাপ ব্যাবহারের শিকার হয়েছেন, আপনাদের কে ত বেশ সচেতন মনে হচ্ছে আপনারা কি কখনো বাংলাদেশ ভোক্তা অধিককারের কাছে বা কোন থানাায় অভিযোগ করেছেন এমন কোন প্রমান দেখালে ভালো হতো",0
কই এখানে তো পুলিশ লীগ আর আওয়ামীলীগ এক হয়ে হামলা চালাচ্ছে দিক্কার এমন একতরফা পুলিশকে,1
হিন্দুদের ও নামাবলী পারে যাব ওঁরা যা খুশি তাই করবে নাকিএক দেশ এক আইন,1
ওই মাদারবোর্ডেরা অরা যে আমাদের ধর্মকে অবমাননা করল তাদের কি শাস্তি হবে? যারা প্রতিবাদ করল তারা দুষ্কৃতিকারী আর যারা এই কাজ করলো তারা কি?,1
তোদের বিচার আল্লাহ নিজের হাতে করবে,0
এই বাইনচোদ ডেনডি খাই মনে হই,1
এগুলো পাগল করে না পাগলের পেছনে কিছু শোয়ারের বাচ্চা কল কাঠি নাড়ে,1
এই শালার বাংলাদেশের সাংবাদিকরা সব চোর চোরদের ধরে পেটানো উচিত,2
কিসের আওয়ামীলীগ কিসের বিএনপি এক ভাই আরেক ভাইকে আঘাত করতেছে রক্তাক্ত করতেছে দুনিয়া ছেড়ে চলে গেলে কেউ পাশে থাকবেনা????,0
যদি গরীব না হতাম মোবাইলটা আছাড় দিয়ে ভেঙ্গে ফেলতাম,0
সাদ্দাম হোসেন আড়াই কোটি শিয়া মুসলিম হত্যা করেছে তার নামটাও বল কনভার্টেড মুল্লা,1
যার যার ধর্ম পালন করতে দিয়া উচিৎ কোন ধর্ম এই শিক্ষা দেয় না ইসলামে ইসলাম ধর্ম শান্তি পূর্ণ ভাবে প্রচার করতে বলা হয়েছে,0
এখানে জা সব আওয়ামিলীগের দালাল আপু ভোট দিতে না জাইতেন,1
ধর্ম যার যার উৎসব তার তার নিরাপত্তা সবার,0
"আমরা কোনো ধর্মের মানুষের সাথে জুলুম করিনা,এটা আমাদের প্রিয় নবি হযরত মুহাম্মাদ সঃ থেকে আমরা শিক্ষা নিয়েছি,আমরা ওদের পোশাক নিয়েতো আর মুসলিমরা কিছুবলছেনা,তাহলে ওরা বলবে কেনো,আমরা জুলুম অত্যাচার করিনা তার জন্যই আমরা মুসলিম,যার ধর্মে যে পোশাক নিতীমালা রয়েছে সে সেই পোশাক পড়ে স্কুলে জাবে,তার পরেও কেনো বাধা আসবে,",0
খুব দুঃখ লাগেরে ভাই এসব দেখে,0
"ন্যাক্কারজনক, ধর্ম মানুষ কে আন্তরিকতা শিখায় সব ধর্মের স্বাধীনতা থাকা উচিত সব কিছুর উর্ধে ধর্ম",0
"আপত্তিকর পোশাক পরা উচিত নয় কিন্তু ড্রেস কোড মেনে চলা উচিত ধর্মকে এখানে জড়ানো উচিত নয় যখন কলেজে ভর্তি হয় তখন নিয়ম কানুন জেনেই তো আসে ভরতি হল কেন ? তাহলে এখন হিজাব, বোরখা, গেরুয়া পোশাক এর কথা উঠবে কেন অনেক মনে করেন এরা শিক্ষা কলুষিত করছে যে ধর্মের হোক কলেজ কর্তৃপক্ষ নিয়ম মেনে ব্যবস্থা নিক এটা অনেকে মনে করেন ধর্ম বিচরন করুক মন্দির মসজিদে ও গির্জায় বিদ্যাঅঙ্গনে নয় আফগানিস্থানের মত ভারত যেন নষ্ট না হয়ে যায় সেটা সকলে দেখবেন",2
হল বন্ধ ঘোষণা করে আমাদের অপমান করা হলোএটা কোনোভাবেই মেনে নেয়া হবে না,0
কঠিন হিন্দুত্ববাধী মাফিয়া ও মুসলিম কিলার মোদির বিরুদ্ধে আমাদের সকল মুসলমানদের জিহাদের প্রস্তুতি নিতে হবে,2
মোদীর ধুতি খোলার সময় হয়ে গেছে,1
হে আল্লাহ ভারতের মুসলমানদের কে হেফাজত হিন্দুত্ববাদী শয়তান মূর্তিপূজারী হেদায়েত দিন না হয় ধ্বংস করে দিন,2
হে আল্লাহ তুমি পৃথিবীর সকল মুসলিম ভাই বোনদের হেফাজতে রেখ,0
প্রথমে যে ব্যক্তিটি হেঁটে আসছিলতার কাঁধে যে জিনিসটা রাখা হয়েছে সেই জিনিসটা ভাল করে খেয়াল করে দেখা যাবে যে হনুমানের কাঁধে যে জিনিসটা থাকে ওইটা সেই জিনিসটা,0
আমার মুসলিম মেয়েদের সাথে হিলা বিবাহ কোরতে খুব ভালো লাগে কারণ আমি আগামী দিনে মুসলিমদের নবী জন্ম দিচ্ছি ঠিক যেমন আমাদের পূর্ব পুরুষেরা ওদের নবী হযরত মহাউম্মাদের জন্ম দিয়ে ছিলো,1
তোদের তো ইসলাম নারিদের পরালেখার অধিকার দেয় নাতাহলে এসব বাহানা কেন,1
গলায় পা দিয়ে মুখ দিয়ে রক্ত বের করা উচিত,2
হারামখোর গুলো একসাথে!,1
"আসলে বাঙালি হুজুগে ইসলামের অপব্যাখ্যা জানে জংগী আর মুজাহিদ দুটো দুই রকম গাধা! কাউকে মেরে ফেললে সে খুনি অবশ্যই এবং বিচারপ্রাপ্য আবার ইসলামবিরোধী লেখায় কেউ যদি তাকে মেরে ফেলে সে তো মুজাহিদ না বরং জংগী, তাকে তার প্রথমে ভুল শোধরাবার সুযোগ তো দিতে হবে? মেরে ফেললে মুজাহিদ হল কোথার থেকে",0
জাপাজায়গা পায়না পার্টি শালাদের ডিসকাউন্ট ছাড়া থাপরানো উচিত জাপা লীগের বি টিম,2
কত গর্ভ করে বলে এরা যে আমার ছাত্রলীগ এর ছেলেআর এইদিক এ যেই মা তাকে ৯ মাস পেট এ ধরে যে মা জন্ম দিল তার কথা চিন্তা না করে মারামারি করতে এসে পরে তাদের নেতা বাপ দের ডাকে,0
ওকে জাবত জিবন জেলে পাঠানোর নির্দেশ দেয়া হোক কঠোর থেকে কঠোরতর শাস্তি প্রোয়জন,2
কলেজ বন্ধ করলে মার্কেট ও যেন বন্ধ করা হয়,2
"আবূ মুসা আশাআরী রাঃ থেকে বর্ণিতঃরাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম বলেছেন, তিনবার অনুমতি চাইবে অনুমতি দিলে প্রবেশ করবে, অন্যথায় ফিরে যাবে বুখারী ৬২৪৫, মুসলিম ২১৫৩",0
গলাটা খালি থাকলেই আপনাকে সুন্দর লাগতো আরো বেশি,0
যে খতি হইছে তা পূর্ন হবার নয় তবুও দোষী র তদন্ত সাপেক্ষ্ বিচার হোক দেশের অপূরনীয় কিছুটা লাগব করার চেষ্টা ন্যায় বিচার চাই,0
"এখন যদি কোন হিন্দু লোক রাখতো,তাহলে তার পরিবারে এতক্ষণে হামলা ভাংচুর শুরু হয়ে যেত আমি একজন সনাতনী হিসেবে মনে করি,দোষ যার পাপও তার,তার দোষ কেন পরিবার বা অন্য নিরপরাধ মানুষ বহন করবে,,,",0
ওয়াক থু,1
হেলমেট বাহিনী নিরাপদ সড়ক চাই আন্দোলনে ও পুলিশের সাথে মিলে ছাত্রদের সাথে সংঘর্ষে জড়িয়েছিলো,1
"চা, শুকরের গু,কফি হাতির গু এগুলি খাবার খাও না,ওহাত দিয়ে না,চামস দিয়ে খাও, এতভদ্র তোমরা?",1
হে আল্লাহ্ মামুনুল হক সাহেব হুজুর কে তুমি সমস্ত বিপদ থেকে রক্ষা করো আমিন..,0
"ছাত্রদের অবইধ ব্যাবহার করা হচ্ছে, তারাই বা হবে কেন, আজ কি শিক্ষা পাচ্ছে তারা তা ভেবে দেখার দরকার",0
অর্ধনগ্ন অবস্থায় দৌড় টা কড়া আসিলো,0
"মুসলিম মেয়েরা হিযাব পরে আসুক আর কাফের মেয়েরা গেরুয়া হোক বিকিনি হোক মন চাইলে কাপড় খুলে নেংটা হয়ে আসুক মুসলিমরা এতে বাধা দিবেনা,তবে রাস্তার কুকুর বিড়াল নেংটিমেয়েদের পেছনে লাগলে ভিন্ন কথা তার দায় যে নেয় নেবে",1
এটা অবশ্যই একটা সাম্প্রদায়িক দাঙ্গা সৃস্টি করার ষড়যন্ত্র,0
"তোরা কি মুসলিম আমার সন্দহ হই, বিচার একদিন হবে সবার",0
আচ্ছা কে কুরান শরীফ রাখছে এটা জানুন না জেনে কারো ধমে আঘাত আনা ঠিক না আগে প্রকৃত দষী কে খুজুন তারপড় বিচার করুন আমি মুসলিম ধমকে সম্যান করি,0
ভাল,0
"আমাদের দেশে মৌলবাদী জঙ্গিবাদী রা এখন কই যারা বলছিল একাজটা হিন্দুরা করেছে সব সময় ইমোশন দিয়ে না,ব্রেন খাটিয়ে চিন্তা করবেন",1
গুপ্ত সংগঠনের হামলা ছিলো যারা এখন শিবির,0
যখনই ভয় পাই তখনি আল্লাহর নাম নিই সত্যিকারের ইমানদারের আওয়াজ,0
রুমিন ফারহানা ইলেকশনে আপনি গুহারা হারবেন,1
মাউথ পাইয়া বাল ছাল কথা বাদ দে তুই কি তাদের গলা টিপে ধরবিরে ছোট মোস্তাক,1
সকল আওয়ামী নেতারা কাফের,1
"ফাসি নয়, যেমন করে নিরাপরাধী হিন্দুদের ওপর অত্যাচার হয়েছিলো ঠিক তেমনি ইকবাল হুসেইনের ওপর হামলা হোক",1
হরতাল তো না এ যেনো চোর পুলিশ খেলা হচ্ছে,0
মজিব কে কে জন্ম দিয়েছে?????,0
সবাই এই বদমাইস কে আনফলো করেন আর রিপোর্ট করেন,1
"জার জার জীবন কে কি ভাবে চলবে সেই জানে আপনি বলার কে , আপনি নিজেকে কি মনে করেন আপনাকই সুন্দর লাগে না",1
"এরা যে রকম বলছে কোনু ব্যবসায়ী এরকম আচরন কারো সাথে করেনা,,,মার্কেট বন্ধ কখনো রাখবেনা সরকার কারন এতে রাষ্টিয় ভাবে কোটি কোটি টাকা লোকসানে পড়বে,,,",1
"অরা ভুট ছারাই পাস করতে চায়,আপুফাজিল দের শিক্ষা পাওয়া উচিত",2
ভারতের দালাল কাদের,1
"সাবাস বোন সাবাস, মুসলিম একমাত্র আল্লাহ ছাড়া আর কারো কাছে মাথা নত করে না,যার বাস্তব প্রমাণ তুমি দিয়েছো,, আল্লাহর গজব পড়বে এইসব জালেমদের উপর,",0
"যেই দেশের দেয়ালে দেয়ালে হারবালের পোষ্টার ভরা, সেই দেশের ক্রিকেটার মাঠে দূর্বল থাকবে সেটাই স্বাভাবিক",0
"হিজাব স্বাধীনতা হয় কিভাবে? ইসলামে হিজাব বাধ্যতামুলক হিজাব, নিকাব পড়তেই হবে সেজন্য ইসলামি দেশগুলোতে হিজাব না পড়লে মেয়েদের কঠোর শাস্তি দেওয়া হয় ইসলাম না জেনে কেবল কিছু মহাউম্মাদ মাথাপাগলরা একে স্বাধীনতা বলে",1
বোন তোমাকে অসংখ্য ধন্যবাদ,0
"হল কেন বন্ধ হবে,,,,সব ছাত্র ছাত্রিদের কে এক হওয়ায় আহব্বান করা হল,,",0
"কিসের হেপাজত??উগ্রবাদ কখন হেপাজতে হতে পারে না, তাঁতে সে রামাবলী হোক আর টুপি পরা হোক্ উগ্রবাদ কখনই মানুষের কাছে কাম্ব না, আজকের শিক্ষিত সমাজ এই সকল কিছু আশা করে না বর্তমান সমাজের কাছ থেকে",0
আপনার কথার সাথে আপনি একমত হতে পারলাম না এর দুঃখপ্রকাশ করছি,0
ধন্যবাদ লেখক ভট্টাচার্য,0
মুসকানকে ধন্যবাদ ইসলাম কে নিয়ে কথা৷ বলার জন্য,0
আরে এদের মত পেলেয়ার দের রিজেক্ট দিয়ে দেন নতুন করে টিম তৈরী করা হোক শালারা ভাত পাই না চা চোদাই পাপন ভাই রাইট কথা,1
বুজা যাচ্ছে আপুদের পরিবারের আদর্শ শিক্ষা অনেক ভালো,0
ফ্যাসিবাদ কে ধরে ধরে ফাঁসি দিতে হবে,2
এগুলি এখন রাজনৈতিক খেলা এখন আরো সুযোগ পাবে যেন মুসলিম শিক্ষার্থীরা শিক্ষা গ্রহন থেকে পিছিয়ে যায়,0
"নাস্তিকদের দালাল এই টিভি রিপোর্টার, এই চেনেল",1
উগ্র সাম্প্রদায়িক শক্তি ভারত পরিচালনা করছেন এর ধারাবাহিকতা অব্যাহত থাকলে ভারত বিভক্ত হয়ে নতুন কিছু দেশের সৃষ্টি হবে নিশ্চিত,0
